paths_folder,control_group,seeds_used,figures_written,output_dir
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05",level,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05/ControlDensities/level_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05",rate,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05/ControlDensities/rate_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05",value,100,2,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05/ControlDensities/value_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1",level,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1/ControlDensities/level_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1",rate,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1/ControlDensities/rate_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1",value,100,2,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1/ControlDensities/value_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.3",level,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.3/ControlDensities/level_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.3",rate,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.3/ControlDensities/rate_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.3",value,100,2,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.3/ControlDensities/value_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_148.6",level,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_148.6/ControlDensities/level_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_148.6",rate,100,6,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_148.6/ControlDensities/rate_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_148.6",value,100,2,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_148.6/ControlDensities/value_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05",level,100,12,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05/ControlDensities/level_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05",rate,100,12,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05/ControlDensities/rate_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05",value,100,4,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.05/ControlDensities/value_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1",level,100,12,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1/ControlDensities/level_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1",rate,100,12,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1/ControlDensities/rate_pre-post"
"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1",value,100,4,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000/SimulationResults/paths_ξ_0.1/ControlDensities/value_pre-post"
