V_delta_l2_vs_reference,V_exact_match_vs_reference,V_finite_fraction,V_mean,V_p01,V_p99,V_parameter_count,V_relative_delta_l2_vs_reference,V_std,V_weights_finite,chunk_size,dv_dy_penalty_rmse,foc_d_rmse,foc_g_rmse,foc_r_rmse,folder,has_rd_control,history_best_loss_FOC_d,history_best_loss_FOC_g,history_best_loss_FOC_r,history_best_loss_dv_dY,history_best_loss_v,history_final_loss_FOC_d,history_final_loss_FOC_g,history_final_loss_FOC_r,history_final_loss_dv_dY,history_final_loss_v,history_initial_loss_FOC_d,history_initial_loss_FOC_g,history_initial_loss_FOC_r,history_initial_loss_dv_dY,history_initial_loss_v,history_last_step,history_rows,i_d_delta_l2_vs_reference,i_d_exact_match_vs_reference,i_d_finite_fraction,i_d_mean,i_d_p01,i_d_p99,i_d_parameter_count,i_d_relative_delta_l2_vs_reference,i_d_std,i_d_weights_finite,i_g_delta_l2_vs_reference,i_g_exact_match_vs_reference,i_g_finite_fraction,i_g_mean,i_g_p01,i_g_p99,i_g_parameter_count,i_g_relative_delta_l2_vs_reference,i_g_std,i_g_weights_finite,i_r_delta_l2_vs_reference,i_r_exact_match_vs_reference,i_r_finite_fraction,i_r_mean,i_r_p01,i_r_p99,i_r_parameter_count,i_r_relative_delta_l2_vs_reference,i_r_std,i_r_weights_finite,pde_rmse,sample_size,stage
0.5988413687004932,0,1.0,3.725199419539422,2.6246408939361574,4.842915773391725,3997,0.021660530514664333,0.5402974253016262,1,1024,1.0000001537946446e-07,0.00017320073311566375,0.0001859034200606402,,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",0,2.82277e-05,3.05824e-05,,1e-07,0.000861208,3.06165e-05,3.17649e-05,,1e-07,0.00127047,6.24819e-05,4.9077e-05,,1e-07,0.00152985,999000,1000,56.538782800054534,0,1.0,0.054244271901552565,0.04238564670085907,0.0886507660150528,3997,0.5738092870166325,0.011861701851808345,1,55.12490246750887,0,1.0,0.1577625403442653,0.09105352461338043,0.2754557102918625,3997,0.5003408390679076,0.04832574582866407,1,,,,,,,,,,,0.001467486727051437,4096,PostDamagePostTech
0.9349802152733179,0,1.0,3.6183862816542387,2.4710794568061827,4.782709908485413,4033,0.040388400958396325,0.5619519086184035,1,1024,3.9041027402930695e-05,0.0002890048417611979,0.00032897014170885086,0.00033716329926392063,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",1,9.08631e-05,8.03223e-05,8.59841e-05,1e-07,0.00165938,0.000109458,9.63116e-05,0.000102951,1e-07,0.0018938,0.000196432,0.000180049,0.00018927,1e-07,0.0232772,999000,1000,89.52297700767659,0,1.0,0.05341110922745429,0.02606760561466217,0.08927834033966066,4033,2.866431109711404,0.014275483819562307,1,81.2312059953102,0,1.0,0.12104651781555731,0.06300473511219025,0.23600417077541352,4033,2.609799225637845,0.04606611298905251,1,81.77152032164268,0,1.0,0.0017074271824990828,3.797954798301362e-06,0.0071353397332131864,4033,1.9122969027938133,0.0019682759044438148,1,0.0020922329276800156,4096,PostDamagePreTech
0.5444087567935514,0,1.0,3.590674657083582,2.595188570022583,4.349890875816345,3961,0.020204132076474677,0.47853548421770037,1,1024,2.021414147179712e-07,0.00011865801570820622,0.00012853690350311808,,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",0,1.41628e-05,1.46178e-05,,1.00056e-07,0.00191509,1.92843e-05,1.60716e-05,,2.36966e-07,0.00215734,0.00128173,0.00115842,,1.29898e-07,0.00638542,999000,1000,72.23407402610158,0,1.0,0.0527771263878094,0.042546427249908446,0.08718557059764863,3961,0.9400643687245844,0.011426614626645213,1,53.190870481332176,0,1.0,0.15647523703228217,0.0900405377149582,0.27598741054534914,3961,0.5766951685613929,0.04947105465417251,1,,,,,,,,,,,0.00213794712908566,4096,PreDamagePostTech
1.3207496651704524,0,1.0,3.490932776418049,2.488281583786011,4.3191481828689575,3997,0.055609990297892556,0.5038557174194581,1,1024,6.003075554872339e-06,0.0005709015968022868,0.0005491142219398171,0.0007185799913713709,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/OneTechJump_Pi_1p0_TechIntensityScale_1p0_LR_warmup_cosine_10e-6,40e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",1,6.04648e-05,6.94323e-05,6.22843e-05,1e-07,0.00181049,8.50455e-05,8.5754e-05,6.22843e-05,2.3872e-05,0.00223634,0.000103579,8.95877e-05,0.000104401,1e-07,0.1676,999000,1000,111.36986053545017,0,1.0,0.05246042174985632,0.027561691403388978,0.08725722134113313,3997,3.6015305147739896,0.013782854096075391,1,82.61354292114093,0,1.0,0.12015045438602101,0.06135374009609222,0.24632273912429817,3997,2.532186302593174,0.047398944788145964,1,89.16652060957588,0,1.0,0.001619064330909109,3.5292533539177385e-06,0.006024361355230213,3997,2.0049536401400423,0.0017937045697697233,1,0.002218447800260037,4096,PreDamagePreTech
0.0,1,1.0,3.7210818064049818,2.619744062423706,4.790514945983887,3997,0.0,0.5339776563060418,1,1024,6.4606787280041544e-06,6.333661804092117e-05,6.065227717044763e-05,,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",0,2.93533e-05,3.15138e-05,,1e-07,0.00100112,4.15301e-05,3.5316e-05,,1e-07,0.00118037,0.000641498,0.000636944,,1e-07,0.00254696,999000,1000,0.0,1,1.0,0.053588665439747274,0.04022854864597321,0.08960776031017305,3997,0.0,0.012955482803858585,1,0.0,1,1.0,0.15556631110666785,0.09220685660839081,0.2574615508317948,3997,0.0,0.044008156855434286,1,,,,,,,,,,,0.0016086548857856542,4096,PostDamagePostTech
0.0,1,1.0,3.4330522306263447,2.3014351963996886,4.621045565605165,4033,0.0,0.5813341006666076,1,1024,1.0000001537946446e-07,0.00018184593500336632,0.00017525930161355063,0.00018862386787077412,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",1,0.000128498,0.000100689,0.000116629,1e-07,0.00100656,0.000159204,0.000132665,0.000133513,1e-07,0.0012141,0.00104701,0.00100953,0.0966051,1e-07,0.0278368,999000,1000,0.0,1,1.0,0.06898530498438049,0.03972460031509399,0.09288922250270844,4033,0.0,0.012447981523166967,1,0.0,1,1.0,0.09872118003841024,0.06621560156345367,0.16143610775470735,4033,0.0,0.02354245154984265,1,0.0,1,1.0,0.0015809239996846802,2.6185014576185495e-05,0.005838860175572339,4033,0.0,0.0016014495536651743,1,0.0015199006593320519,4096,PostDamagePreTech
0.0,1,1.0,3.5843451092951,2.590290296077728,4.350018858909607,3961,0.0,0.4758492209134134,1,1024,1.2327091170050153e-07,0.0012511996028479189,0.0011541726998984814,,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",0,1.61544e-05,1.44681e-05,,1.00029e-07,0.00192582,2.02328e-05,1.69947e-05,,1.44681e-07,0.00218087,0.00108588,0.00103173,,4.29544e-05,0.084154,999000,1000,0.0,1,1.0,0.05247315861925017,0.040007999539375304,0.08799633085727694,3961,0.0,0.012427038983490898,1,0.0,1,1.0,0.15461381636851002,0.09128580689430237,0.2594612389802933,3961,0.0,0.04523934990583891,1,,,,,,,,,,,0.00224878778681159,4096,PreDamagePostTech
0.0,1,1.0,3.3099911597091705,2.2655920028686523,4.165363049507141,3997,0.0,0.5250646971561698,1,1024,1.769739583323826e-05,0.00011553032527444884,0.00010296180153090972,9.933749606716447e-05,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",1,9.16177e-05,7.43931e-05,7.77802e-05,1e-07,0.00164557,9.76761e-05,8.98787e-05,8.01067e-05,1e-07,0.00211046,0.000959787,0.000983586,0.108463,1.84324e-05,0.0733034,999000,1000,0.0,1,1.0,0.06764106001355685,0.04210271239280701,0.09091887176036835,3997,0.0,0.012086547529319064,1,0.0,1,1.0,0.09789607799029909,0.06557230055332183,0.16100279688835145,3997,0.0,0.023657194695083837,1,0.0,1,1.0,0.0015479364821786579,2.529714947741013e-05,0.005533737153746197,3997,0.0,0.0014827975453133976,1,0.00206596968928352,4096,PreDamagePreTech
0.0,1,1.0,3.4851565696299076,2.3656335949897764,4.6471092224121096,4033,0.0,0.5732748798670101,1,1024,1.0000001537946446e-07,0.00016454006618005224,0.0001624429496587254,0.00019327763584442437,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",1,8.52967e-05,7.62373e-05,0.0001145,1e-07,0.0011087,0.0001088,7.96253e-05,0.000123316,1e-07,0.00207705,0.0690988,0.0690805,0.0708172,0.000162227,0.00331374,999000,1000,0.0,1,1.0,0.0690033445134759,0.04967334866523743,0.09311178624629975,4033,0.0,0.009860676853184995,1,0.0,1,1.0,0.11464056417753454,0.08121526539325714,0.1654477417469025,4033,0.0,0.021697644141389544,1,0.0,1,1.0,0.0006852052698322897,1.6327053981513017e-05,0.002487964078318332,4033,0.0,0.0006525134551480569,1,0.0017573605000507087,4096,PostDamageIntermTech
0.0,1,1.0,3.355128212540876,2.3517076134681703,4.180863785743713,3997,0.0,0.5119682818004408,1,1024,2.296300035453669e-06,0.00023631711883354,0.00021223630392341875,0.0003287138242740184,"/project/lhansen/Cap_damage/TwoStageTechJump_FOCIr_orignal/output_001/TwoStageTech_LR_warmup_cosine_10e-6,10e-4_128_neurons_32_#HiddenLayer_4_num_iterations1000000",1,5.9675e-05,5.4747e-05,6.03301e-05,1e-07,0.00195323,7.72501e-05,7.08391e-05,7.90652e-05,1e-07,0.00201644,0.0656177,0.0657557,0.0770307,2.82347e-05,0.0890278,999000,1000,0.0,1,1.0,0.06791198378778063,0.05044958293437958,0.09110818505287172,3997,0.0,0.009666155016186576,1,0.0,1,1.0,0.11346984367992263,0.08015131652355194,0.16533019840717317,3997,0.0,0.02202466449732665,1,0.0,1,1.0,0.000687808058168704,1.5749311842228053e-05,0.0023118376499041914,3997,0.0,0.0006268886845132489,1,0.0022035049623809755,4096,PreDamageIntermTech
